year,pf,pn,pr,mf,mn,mr,t,half,all,expansion
2011,217956.7188105462,37648.41936893758,50318.155309699585,0.7506000000000004,0.11470000000000002,0.13340000000000174,1.7239468184139378e-05,9.770320728828004e-06,1.241948256233799e-06,0.12620856224980848
2012,213784.61485736287,37335.83931168727,54695.86490524119,0.7444000000000006,0.11280000000000001,0.1416000000000004,2.0449016150334037e-05,1.1830337668490056e-05,1.5015278085679765e-06,0.1420395312987356
2013,209612.37660551583,37023.259254437064,59073.71836085705,0.7382000000000009,0.1109,0.1498000000000026,2.4288006624961727e-05,1.4364493750587057e-05,1.8552550596047961e-06,0.1612584272694949
2014,205440.13835366882,36710.67919718676,63451.571816473326,0.7320000000000011,0.10899999999999999,0.15800000000000125,2.905447834515199e-05,1.7655887488043927e-05,2.5060512333046837e-06,0.18503111111417792
2015,201267.900101822,36398.099139936545,67829.42527208918,0.7257999999999996,0.10709999999999997,0.1661999999999999,3.530631422564802e-05,2.224796985859707e-05,3.900278853303942e-06,0.21528976291049295
2016,197095.66184997492,36085.5190826862,72207.27872770528,0.7195999999999998,0.10519999999999996,0.1744000000000021,4.381531815837824e-05,2.889946220046811e-05,6.6790942575117984e-06,0.25466199421397073
2017,192923.4235981283,35772.93902543601,76585.13218332155,0.7134,0.10329999999999995,0.18260000000000076,5.54108127632192e-05,3.842913625436913e-05,1.1518910033881258e-05,0.30611630474849205
2018,188751.18534628113,35460.35896818568,80962.98563893787,0.7072000000000003,0.10139999999999993,0.19080000000000297,7.079889778164439e-05,5.1536687177968665e-05,1.894703941532464e-05,0.3725314963222309
2019,184578.94709443458,35147.778910935485,85340.83909455407,0.7010000000000005,0.09949999999999992,0.19900000000000162,9.042956343464829e-05,6.867202274845954e-05,2.9204653886458126e-05,0.4563749594347024
2020,180406.7088425876,34835.198853685164,89718.69255016989,0.6948000000000008,0.09759999999999991,0.20720000000000027,0.00011444501309333208,8.998648694203383e-05,4.2190339903093716e-05,0.5595848987938649
2021,176234.47059074102,34522.61879643493,94096.5460057862,0.688600000000001,0.0956999999999999,0.21540000000000248,0.00014270794994279947,0.00011536498013146796,5.748293589108693e-05,0.6836663196652009
2022,172062.3167596598,34210.03873918466,98474.39946140238,0.6823999999999995,0.09379999999999988,0.22360000000000113,0.0001748882791191337,0.00014451763726330125,7.442197063041258e-05,0.8299571014700301
2023,167894.3388311416,33897.458681934426,102852.18708811174,0.6761999999999997,0.09189999999999987,0.23180000000000334,0.0002105828830257028,0.00017710315790079255,9.221738502524419e-05,1.0
2024,163734.91685452432,33584.8786246841,107229.58171622705,0.6699999999999999,0.08999999999999986,0.240000000000002,0.0002494367010671827,0.00021285862049278705,0.000110062871000924,1.195959704589502
2025,159592.26081512976,33272.2985674339,111602.40621185902,0.6638000000000002,0.08809999999999985,0.24820000000000064,0.0002912554896328134,0.0002517179385257962,0.0001272343816448522,1.421040225492418
2026,155478.57469613972,32959.71851018358,115941.12300095349,0.6576000000000004,0.08619999999999983,0.25640000000000285,0.0003360942309801108,0.00029390948332501214,0.0001431636067805473,1.6798782089403894
2027,151864.05869857172,32647.138452933385,120273.13628470339,0.6514000000000006,0.08429999999999982,0.2646000000000015,0.0003850544093154555,0.00034003070959434006,0.00015748336588966832,1.9789067905721622
2028,148724.47608783422,32516.587473036725,124605.08429637802,0.6452000000000009,0.0823999999999998,0.27280000000000015,0.00043924463336588446,0.0003907538890214657,0.00017004703830324346,2.3266996563016655
2029,145584.89347709733,32463.77517255189,128937.00848032557,0.6390000000000011,0.0804999999999998,0.28100000000000236,0.0004992271566568253,0.00044758983626280816,0.00018092721897666162,2.7343154472750193
2030,142445.31086636035,32410.962872067055,133268.45308571288,0.6327999999999996,0.07859999999999978,0.289200000000001,0.000566586545217763,0.0005125870274641447,0.0001904000810759899,3.2156690726627706
